Час заходу: 05:40:25;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 05:41:50;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 05:41:54;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 06:05:59;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:07:36;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:10:35;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:12:12;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:12:14;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:15:29;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:50:07;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr2.lc/userPage.php
Час заходу: 18:51:06;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: 
Час заходу: 18:51:43;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr3.lc/Index.php
Час заходу: 18:53:02;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr3.lc/Index.php
Час заходу: 20:40:33;  IP: 127.0.0.1;  URI сторінки: /userPage.php;  Referer: http://pr3.lc/Index.php
